role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
POSSESSED,Agr_id_Wait,0.4489795918367347,0.10526315789473684,-0.4751866331386379,49,19,0.4751866331386379
POSSESSED,Fact_recepient_id_Req(CO),0.1,0.0,-0.316227766016838,20,10,0.316227766016838
POSSESSED,Est_id_calm,1.6,1.1363636363636365,-0.2239218310721967,55,22,0.2239218310721967
POSSESSED,Tally,0.0,0.0,,225,225,
POSSESSED,Req(T),1.1333333333333333,0.38222222222222224,-0.5816281649844035,225,225,0.5816281649844035
POSSESSED,Sus_recepient_id_ReqDiscuss,3.3203125,1.6,-0.49775635277966895,128,45,0.49775635277966895
POSSESSED,Vote_recepient_id_Pers,1.0625,0.8571428571428571,-0.11739915763878606,80,21,0.11739915763878606
POSSESSED,Dis_id_XOR,0.0,0.0,,83,26,
POSSESSED,Sus_recepient_id_Admiration,0.0078125,0.0,-0.125,128,45,0.125
POSSESSED,Vote_recepient_id_ReqDiscuss,2.375,1.2380952380952381,-0.44623550992834327,80,21,0.44623550992834327
POSSESSED,Agr_id_Pers,1.1428571428571428,1.0526315789473684,-0.049224650780881354,49,19,0.049224650780881354
SEER,Fact_recepient_id_XOR,0.0,0.0,,31,9,
SEER,Dis_id_Req(V),0.5066666666666667,0.375,-0.12415641031150576,75,16,0.12415641031150576
SEER,day1_vote_id_Req(T),1.0528846153846154,0.4182692307692308,-0.40213822691404183,208,208,0.40213822691404183
SEER,Vote_recepient_id_XOR,0.0,0.0,,90,20,
SEER,Exe,0.0,0.022222222222222223,0.17920573467526588,225,225,0.17920573467526588
SEER,Sus,1.2444444444444445,0.28,-0.7656093245218726,225,225,0.7656093245218726
SEER,Vote_recepient_id_difficult,0.08888888888888889,0.15,0.14738556269188086,90,20,0.14738556269188086
SEER,Vote_recepient_id_ReqListen,0.18888888888888888,0.05,-0.2921154414158307,90,20,0.2921154414158307
SEER,Sus_recepient_id_Req(T),0.8615384615384616,1.1428571428571428,0.2210436996686646,130,28,0.2210436996686646
SEER,Est_id_Req(CO),0.013513513513513514,0.06666666666666667,0.26546698459680845,74,15,0.26546698459680845
SEER,Dis_id_Mt,1.1866666666666668,2.8125,0.6532072945869963,75,16,0.6532072945869963
SEER,calm,0.9688888888888889,0.23555555555555555,-0.47115735625927263,225,225,0.47115735625927263
SEER,Est_id_Req(V),0.2702702702702703,0.4,0.1503826049398994,74,15,0.1503826049398994
SEER,Fact_recepient_id_Wait,0.3225806451612903,0.0,-0.6500728664175621,31,9,0.6500728664175621
SEER,Pers,1.3155555555555556,0.36444444444444446,-0.5560537471391763,225,225,0.5560537471391763
SEER,Fact_recepient_id_contradiction,0.12903225806451613,0.0,-0.3245496195697512,31,9,0.3245496195697512
SEER,Est_id_ReqListen,0.33783783783783783,0.06666666666666667,-0.35451803136702836,74,15,0.35451803136702836
SEER,Req(CO),0.02666666666666667,0.013333333333333334,-0.06187939745230097,225,225,0.06187939745230097
SEER,Fact_recepient_id_Req(V),0.0967741935483871,0.1111111111111111,0.039158143050153145,31,9,0.039158143050153145
SEER,day1_vote_id_difficult,0.1875,0.04326923076923077,-0.345139541280899,208,208,0.345139541280899
SEER,Sus_recepient_id_IF,0.046153846153846156,0.0,-0.23774746242798156,130,28,0.23774746242798156
SEER,Wait,0.13777777777777778,0.02666666666666667,-0.30730031470065156,225,225,0.30730031470065156
SEER,Sus_recepient_id_Vote,0.6307692307692307,0.6785714285714286,0.03909718091562033,130,28,0.03909718091562033
SEER,Est_id_Pers,1.1756756756756757,1.4666666666666666,0.14559738912815967,74,15,0.14559738912815967
SEER,Sus_recepient_id_calm,1.2307692307692308,0.6428571428571429,-0.3203998520918722,130,28,0.3203998520918722
SEER,contradiction,0.04888888888888889,0.013333333333333334,-0.17076427414771816,225,225,0.17076427414771816
SEER,Req(V),0.39555555555555555,0.19111111111111112,-0.26306814216659047,225,225,0.26306814216659047
SEER,Vote_recepient_id_Wait,0.26666666666666666,0.05,-0.34055331372343145,90,20,0.34055331372343145
SEER,Sus_recepient_id_contradiction,0.07692307692307693,0.03571428571428571,-0.13021799984273785,130,28,0.13021799984273785
SEER,Est_id_Sus,1.5135135135135136,1.8,0.14502795393357043,74,15,0.14502795393357043
SEER,Est_id_Mt,3.5945945945945947,3.066666666666667,-0.1192505395701601,74,15,0.1192505395701601
SEER,Agr_id_ReqDiscuss,4.604651162790698,2.857142857142857,-0.3923602675563138,43,7,0.3923602675563138
SEER,confused,0.057777777777777775,0.008888888888888889,-0.21946667774364506,225,225,0.21946667774364506
SEER,Dis_id_ReqDiscuss,1.4666666666666666,1.375,-0.050552352406320444,75,16,0.050552352406320444
SEER,Sus_recepient_id_ReqListen,0.5461538461538461,0.07142857142857142,-0.2419672400746664,130,28,0.2419672400746664
SEER,Dis_id_Fact,0.13333333333333333,0.1875,0.08630972480906558,75,16,0.08630972480906558
SEER,Dis_id_confused,0.09333333333333334,0.3125,0.3365298021673145,75,16,0.3365298021673145
SEER,Vote_recepient_id_Mt,1.8666666666666667,3.1,0.43042405502048425,90,20,0.43042405502048425
SEER,Agr_id_Fact,0.11627906976744186,0.0,-0.42064998575498896,43,7,0.42064998575498896
SEER,Sus_recepient_id_difficult,0.23076923076923078,0.0,-0.5291138042920941,130,28,0.5291138042920941
SEER,day1_vote_id_ReqListen,0.42788461538461536,0.0673076923076923,-0.29417875043325575,208,208,0.29417875043325575
SEER,Vote_recepient_id_Admiration,0.0,0.0,,90,20,
SEER,Fact_recepient_id_confused,0.0967741935483871,0.0,-0.4553825555391872,31,9,0.4553825555391872
SEER,day1_vote_id_Req(CO),0.038461538461538464,0.004807692307692308,-0.19224136787312524,208,208,0.19224136787312524
SEER,Agr_id_IF,0.13953488372093023,0.0,-0.5628338104425205,43,7,0.5628338104425205
SEER,day1_vote_id_calm,1.6586538461538463,0.6105769230769231,-0.33767873549991595,208,208,0.33767873549991595
SEER,Vote_recepient_id_IF,0.022222222222222223,0.0,-0.14907119849998599,90,20,0.14907119849998599
SEER,IF,0.06666666666666667,0.013333333333333334,-0.22595161219635285,225,225,0.22595161219635285
SEER,Dis_id_Vote,0.6533333333333333,0.6875,0.032757050905359936,75,16,0.032757050905359936
SEER,Vote_recepient_id_Req(CO),0.044444444444444446,0.0,-0.21201295939044612,90,20,0.21201295939044612
SEER,Est_id_confused,0.24324324324324326,0.0,-0.4172359650802394,74,15,0.4172359650802394
SEER,Fact_recepient_id_difficult,0.0967741935483871,0.2222222222222222,0.24260320220674791,31,9,0.24260320220674791
SEER,day1_vote_id_Mt,3.0673076923076925,1.1153846153846154,-0.4029142887359592,208,208,0.4029142887359592
SEER,Agr_id_Req(V),0.09302325581395349,0.0,-0.35938316043764523,43,7,0.35938316043764523
SEER,day1_vote_id_XOR,0.0,0.0,,208,208,
SEER,day1_vote_id_IF,0.028846153846153848,0.004807692307692308,-0.16467227032159795,208,208,0.16467227032159795
SEER,Fact_recepient_id_IF,0.0967741935483871,0.0,-0.4553825555391872,31,9,0.4553825555391872
SEER,Sus_recepient_id_confused,0.2,0.0,-0.4598645559684565,130,28,0.4598645559684565
SEER,ReqListen,0.27111111111111114,0.022222222222222223,-0.40480930872953863,225,225,0.40480930872953863
SEER,Vote_recepient_id_Fact,0.1,0.15,0.11784241951884449,90,20,0.11784241951884449
SEER,Dis_id_contradiction,0.06666666666666667,0.1875,0.2072858227593954,75,16,0.2072858227593954
SEER,Est_id_Vote,0.40540540540540543,0.4,-0.006601224258244813,74,15,0.006601224258244813
SEER,Vote_recepient_id_confused,0.06666666666666667,0.25,0.3351242049596939,90,20,0.3351242049596939
